metabolite,source,sink,exchange_axis,mean_raw_DKD,mean_raw_HKD,mean_rank_DKD,mean_rank_HKD,detected_DKD,detected_HKD,rate_DKD,rate_HKD,log2fc,perm_p,fisher_p,fisher_or,wilcox_r,cohens_d,perm_q,fisher_q,evidence_score,sig_perm,sig_fisher,significant,sig_fdr,signature_DKD,signature_HKD,effect_size_label
gua,Endo_G,Podo,Endo_G→Podo,5053.79,5948.65,0.6333,0.6703,5,5,0.833,1.0,-0.235,0.6046,1.0,0.333,-0.24,-0.231,0.868,1.0,0.159,False,False,False,False,False,False,small
ser_L,PT_S1,PT_S2,PT_S1→PT_S2,4051.02,6091.1,0.723,0.6966,6,5,1.0,1.0,-0.588,0.8892,1.0,1.182,-0.067,0.562,0.9918,1.0,0.158,False,False,False,False,False,False,medium
amp,PT_S3,C_TAL,PT_S3→C_TAL,14944.96,19203.36,0.7287,0.7834,5,5,0.833,1.0,-0.362,0.7314,1.0,0.333,-0.16,-0.288,0.9299,1.0,0.145,False,False,False,False,False,False,small
gluampn,Podo,Endo_G,Podo→Endo_G,54430.16,95889.17,0.9149,0.92,6,5,1.0,1.0,-0.817,0.5746,1.0,1.182,0.233,-0.215,0.8416,1.0,0.138,False,False,False,False,False,False,small
gthrd,C_TAL,PC,C_TAL→PC,382.72,1990.59,0.4253,0.3359,3,2,0.5,0.4,-2.379,0.8016,1.0,1.4,-0.333,0.359,0.9299,1.0,0.138,False,False,False,False,False,False,small
asn_L,Podo,Endo_G,Podo→Endo_G,1195.14,1128.08,0.5517,0.5462,5,5,0.833,1.0,0.083,0.5228,1.0,0.333,-0.28,0.042,0.8395,1.0,0.134,False,False,False,False,False,False,negligible
gthox,C_TAL,GS_Stromal,C_TAL→GS_Stromal,478.09,804.7,0.5368,0.5076,6,5,1.0,1.0,-0.751,0.7446,1.0,1.182,-0.133,0.342,0.9299,1.0,0.13,False,False,False,False,False,False,small
ac,PT_S3,C_TAL,PT_S3→C_TAL,6039.34,10982.15,0.7414,0.7241,6,5,1.0,1.0,-0.863,0.6634,1.0,1.182,-0.2,0.265,0.9249,1.0,0.129,False,False,False,False,False,False,small
ade,Mes,VSMC/Pericyte,Mes→VSMC/Pericyte,1860.27,2768.7,0.5747,0.6055,5,5,0.833,1.0,-0.574,0.729,1.0,0.333,-0.16,-0.213,0.9299,1.0,0.126,False,False,False,False,False,False,small
mag_hs,Fib,CD4T,Fib→CD4T,4975.57,6115.88,0.7069,0.6676,6,5,1.0,1.0,-0.298,0.7566,1.0,1.182,-0.133,0.33,0.9299,1.0,0.125,False,False,False,False,False,False,small
uri,C_TAL,PC,C_TAL→PC,4039.53,3168.85,0.6046,0.6317,5,5,0.833,1.0,0.35,0.7194,1.0,0.333,-0.16,-0.184,0.9299,1.0,0.121,False,False,False,False,False,False,negligible
aspglu,Plasma_Cells,Fib,Plasma_Cells→Fib,7228.86,6278.43,0.6954,0.6772,6,5,1.0,1.0,0.203,0.6366,1.0,1.182,-0.2,0.211,0.8962,1.0,0.121,False,False,False,False,False,False,small
dhdascb,PC,C_TAL,PC→C_TAL,65228.83,57282.8,0.7753,0.8062,5,5,0.833,1.0,0.187,0.681,1.0,0.333,-0.2,-0.138,0.9299,1.0,0.118,False,False,False,False,False,False,negligible
pi,PT_S3,C_TAL,PT_S3→C_TAL,15111.11,20269.4,0.8218,0.8014,6,5,1.0,1.0,-0.424,0.9662,1.0,1.182,0.033,0.416,1.0,1.0,0.109,False,False,False,False,False,False,small
ascb_L,C_TAL,PC,C_TAL→PC,65228.83,57282.8,0.773,0.8062,5,5,0.833,1.0,0.187,0.752,1.0,0.333,-0.16,-0.148,0.9299,1.0,0.105,False,False,False,False,False,False,negligible
hdca,C_TAL,GS_Stromal,C_TAL→GS_Stromal,168.04,305.8,0.5126,0.4938,6,5,1.0,1.0,-0.864,0.906,1.0,1.182,-0.067,0.343,1.0,1.0,0.101,False,False,False,False,False,False,small
akg,PT_S1,PT_S3,PT_S1→PT_S3,36514.22,52137.19,0.8908,0.8855,6,5,1.0,1.0,-0.514,0.7624,1.0,1.182,-0.133,0.232,0.9299,1.0,0.099,False,False,False,False,False,False,small
ins,VSMC/Pericyte,C_TAL,VSMC/Pericyte→C_TAL,11038.38,10811.28,0.6609,0.6814,5,5,0.833,1.0,0.03,0.7358,1.0,0.333,0.16,-0.108,0.9299,1.0,0.099,False,False,False,False,False,False,negligible
lac_L,Podo,Endo_G,Podo→Endo_G,238867.5,340478.97,0.9874,0.9903,6,5,1.0,1.0,-0.511,0.796,1.0,1.182,0.1,-0.255,0.9299,1.0,0.098,False,False,False,False,False,False,small
succ,iPT,C_TAL,iPT→C_TAL,23622.51,29434.65,0.8126,0.8303,6,5,1.0,1.0,-0.317,0.9672,1.0,1.182,0.033,-0.29,1.0,1.0,0.078,False,False,False,False,False,False,small
cyala,Endo_G,Podo,Endo_G→Podo,74073.84,118582.65,0.9437,0.9503,6,5,1.0,1.0,-0.679,0.9866,1.0,1.182,0.033,-0.285,1.0,1.0,0.073,False,False,False,False,False,False,small
ser_D,C_TAL,iPT,C_TAL→iPT,2.38,7159.06,0.319,0.369,2,2,0.333,0.4,-11.557,1.0,1.0,0.778,0.0,-0.208,1.0,1.0,0.062,False,False,False,False,False,False,small
15kprostgf2,C_TAL,PT_S3,C_TAL→PT_S3,125.84,9548.99,0.3851,0.3738,3,2,0.5,0.4,-6.246,0.8016,1.0,1.4,0.333,0.047,0.9299,1.0,0.06,False,False,False,False,False,False,negligible
nh4,iPT,PT_S1,iPT→PT_S1,29208.36,40988.25,0.8609,0.8593,6,5,1.0,1.0,-0.489,0.8204,1.0,1.182,0.1,0.076,0.9441,1.0,0.049,False,False,False,False,False,False,negligible
glucyala,PEC,IC,PEC→IC,83845.18,119931.49,0.954,0.9517,6,5,1.0,1.0,-0.516,0.97,1.0,1.182,-0.033,0.076,1.0,1.0,0.024,False,False,False,False,False,False,negligible
4abut,iPT,PT_S1,iPT→PT_S1,18382.83,28779.24,0.8149,0.8207,6,5,1.0,1.0,-0.647,1.0,1.0,1.182,0.0,-0.092,1.0,1.0,0.023,False,False,False,False,False,False,negligible
